术语	词频	归一化权重	累积权重
能力	202	0.0015	0.2293
含量	200	0.0015	0.2308
抗体	198	0.0015	0.2323
质粒	196	0.0015	0.2337
实验	196	0.0015	0.2352
肠道	193	0.0014	0.2367
耐药	187	0.0014	0.2381
临床	186	0.0014	0.2394
血清	184	0.0014	0.2408
全长	182	0.0014	0.2422
土壤	182	0.0014	0.2435
靶向	181	0.0014	0.2449
侵染	181	0.0014	0.2463
种子	180	0.0013	0.2476
物种	179	0.0013	0.2489
标记	179	0.0013	0.2503
分化	179	0.0013	0.2516
差异基因	179	0.0013	0.2530
转基因	178	0.0013	0.2543
原核	178	0.0013	0.2556
葡萄	177	0.0013	0.2569
功能	176	0.0013	0.2583
肝癌	175	0.0013	0.2596
胃癌	173	0.0013	0.2609
定位	173	0.0013	0.2622
荧光素酶	171	0.0013	0.2634
文摘	168	0.0013	0.2647
菌群	168	0.0013	0.2659
文献	167	0.0012	0.2672
外泌体	165	0.0012	0.2684
真菌	164	0.0012	0.2697
样本	162	0.0012	0.2709
分子	162	0.0012	0.2721
棉花	161	0.0012	0.2733
酵母	161	0.0012	0.2745
群体	160	0.0012	0.2757
幼虫	159	0.0012	0.2769
受体	159	0.0012	0.2781
卵巢	158	0.0012	0.2792
农业	157	0.0012	0.2804
激素	156	0.0012	0.2816
牦牛	155	0.0012	0.2827
番茄	154	0.0012	0.2839
群落	153	0.0011	0.2850
高温	152	0.0011	0.2862
甲基化	150	0.0011	0.2873
风险	149	0.0011	0.2884
基序	148	0.0011	0.2895
性状	147	0.0011	0.2906
杆菌	147	0.0011	0.2917
茶树	145	0.0011	0.2928
植株	143	0.0011	0.2939
油菜	143	0.0011	0.2950
中药	143	0.0011	0.2960
外显子	143	0.0011	0.2971
神经	143	0.0011	0.2982
区域	143	0.0011	0.2992
环境	142	0.0011	0.3003
细胞系	141	0.0011	0.3013
生长	138	0.0010	0.3024
因素	138	0.0010	0.3034
分类	137	0.0010	0.3044
油脂	137	0.0010	0.3055
领域	136	0.0010	0.3065
基因型	134	0.0010	0.3075
突变体	134	0.0010	0.3085
发展	134	0.0010	0.3095
成虫	134	0.0010	0.3105
磷酸化	132	0.0010	0.3115
昆虫	131	0.0010	0.3125
模式	130	0.0010	0.3134
医学	130	0.0010	0.3144
加工	129	0.0010	0.3154
肝脏	129	0.0010	0.3163
脂肪	129	0.0010	0.3173
时期	129	0.0010	0.3183
马铃薯	128	0.0010	0.3192
线粒体	127	0.0010	0.3202
多态性	127	0.0010	0.3211
肺癌	127	0.0010	0.3221
核苷酸	126	0.0009	0.3230
途径	126	0.0009	0.3240
病例	124	0.0009	0.3249
杂合	123	0.0009	0.3258
报告	122	0.0009	0.3267
浓度	121	0.0009	0.3276
产物	121	0.0009	0.3285
疫苗	121	0.0009	0.3294
质谱	120	0.0009	0.3303
血管	119	0.0009	0.3312
融合	117	0.0009	0.3321
标志物	117	0.0009	0.3330
证者	117	0.0009	0.3338
苹果	114	0.0009	0.3347
样品	114	0.0009	0.3355
家系	114	0.0009	0.3364
宿主	114	0.0009	0.3373
分析表明	114	0.0009	0.3381
密码子	113	0.0008	0.3390
糖尿病	113	0.0008	0.3398
粮油	113	0.0008	0.3406
系统	113	0.0008	0.3415
粮油食品	112	0.0008	0.3423
科学	112	0.0008	0.3432
动物	112	0.0008	0.3440
甘蔗	111	0.0008	0.3448
器官	111	0.0008	0.3457
化合物	108	0.0008	0.3465
病菌	107	0.0008	0.3473
模块	107	0.0008	0.3481
碱基	107	0.0008	0.3489
等位基因	106	0.0008	0.3497
表型	106	0.0008	0.3505
生态	106	0.0008	0.3512
芯片	104	0.0008	0.3520
运动	103	0.0008	0.3528
毒株	103	0.0008	0.3536
同源	102	0.0008	0.3543
抗病	102	0.0008	0.3551
温度	102	0.0008	0.3559
糖基化	102	0.0008	0.3566
条件	101	0.0008	0.3574
基转移酶	100	0.0007	0.3581
皮肤	100	0.0007	0.3589
腺癌	100	0.0007	0.3596
材料	100	0.0007	0.3604
家蚕	100	0.0007	0.3611
报告基因	99	0.0007	0.3619
亚型	98	0.0007	0.3626
蜜蜂	97	0.0007	0.3633
胚胎	97	0.0007	0.3640
效应	96	0.0007	0.3648
炎症	96	0.0007	0.3655
种群	95	0.0007	0.3662
免疫学	95	0.0007	0.3669
直肠癌	95	0.0007	0.3676
辣椒	95	0.0007	0.3683
精准	95	0.0007	0.3690
引物	94	0.0007	0.3697
胶质瘤	92	0.0007	0.3704
细胞株	92	0.0007	0.3711
多肽	92	0.0007	0.3718
监测	92	0.0007	0.3725
线虫	91	0.0007	0.3732
触角	91	0.0007	0.3738
标本	91	0.0007	0.3745
农学	90	0.0007	0.3752
资源	90	0.0007	0.3759
遗传学	90	0.0007	0.3765
学科	89	0.0007	0.3772
荧光	89	0.0007	0.3779
孢子	89	0.0007	0.3785
抗性	89	0.0007	0.3792
地区	89	0.0007	0.3799
细胞周期	88	0.0007	0.3805
特异性	88	0.0007	0.3812
学术期刊	87	0.0007	0.3818
干细胞	87	0.0007	0.3825
共表达	87	0.0007	0.3831
睾丸	87	0.0007	0.3838
噬菌体	86	0.0006	0.3844
株系	85	0.0006	0.3851
种质	85	0.0006	0.3857
类型	85	0.0006	0.3863
评分	85	0.0006	0.3870
脂肪酸	85	0.0006	0.3876
单胞菌	84	0.0006	0.3882
综合征	84	0.0006	0.3889
毒性	84	0.0006	0.3895
萜类	83	0.0006	0.3901
代谢物	83	0.0006	0.3907
阴性	83	0.0006	0.3914
相似性	83	0.0006	0.3920
癌症	83	0.0006	0.3926
乙烯	82	0.0006	0.3932
科技	81	0.0006	0.3938
抑制剂	81	0.0006	0.3944
泛素	81	0.0006	0.3950
指标	81	0.0006	0.3956
开花	81	0.0006	0.3963
蛋白酶	81	0.0006	0.3969
儿童	81	0.0006	0.3975
指数	80	0.0006	0.3981
化学	80	0.0006	0.3987
论文	80	0.0006	0.3993
阳性	80	0.0006	0.3999
肌肉	80	0.0006	0.4005
肾脏	79	0.0006	0.4010
肝细胞	79	0.0006	0.4016
基因组学	79	0.0006	0.4022
中华	78	0.0006	0.4028
分支	78	0.0006	0.4034
人群	78	0.0006	0.4040
阶段	78	0.0006	0.4046
根系	78	0.0006	0.4051
生物学	77	0.0006	0.4057
甘蓝型	76	0.0006	0.4063
肺炎	76	0.0006	0.4069
乳腺	76	0.0006	0.4074
病理	76	0.0006	0.4080
生长素	76	0.0006	0.4086
血浆	75	0.0006	0.4091
活力	75	0.0006	0.4097
靶标	75	0.0006	0.4102
卵巢癌	74	0.0006	0.4108
神经元	74	0.0006	0.4114
心脏	73	0.0005	0.4119
评价	73	0.0005	0.4124
时间	72	0.0005	0.4130
来源	72	0.0005	0.4135
致病性	72	0.0005	0.4141
试验	72	0.0005	0.4146
空间	72	0.0005	0.4151
文库	72	0.0005	0.4157
谷物	72	0.0005	0.4162
微卫星	71	0.0005	0.4167
影响	71	0.0005	0.4173
影像	71	0.0005	0.4178
参数	71	0.0005	0.4183
铁皮	71	0.0005	0.4189
个体	71	0.0005	0.4194
基因突变	70	0.0005	0.4199
多糖	70	0.0005	0.4205
离子	70	0.0005	0.4210
幼苗	70	0.0005	0.4215
龙眼	69	0.0005	0.4220
剂量	69	0.0005	0.4225
人体	69	0.0005	0.4230
沉积	69	0.0005	0.4236
敏感性	68	0.0005	0.4241
花生	68	0.0005	0.4246
生存期	68	0.0005	0.4251
物质	68	0.0005	0.4256
橡胶树	68	0.0005	0.4261
频率	67	0.0005	0.4266
心肌	67	0.0005	0.4271
表面	67	0.0005	0.4276
光学	67	0.0005	0.4281
期刊奖	67	0.0005	0.4286
鱼类	67	0.0005	0.4291
颗粒	66	0.0005	0.4296
黄瓜	66	0.0005	0.4301
评估	66	0.0005	0.4306
曲线	66	0.0005	0.4311
表观	66	0.0005	0.4316
合酶	66	0.0005	0.4321
优势	66	0.0005	0.4326
质量	66	0.0005	0.4331
调节	65	0.0005	0.4336
草莓	65	0.0005	0.4340
病原	65	0.0005	0.4345
激酶	65	0.0005	0.4350
医疗	65	0.0005	0.4355
气味	65	0.0005	0.4360
木薯	64	0.0005	0.4365
蔗糖	64	0.0005	0.4369
人类	64	0.0005	0.4374
作物	64	0.0005	0.4379
前体	63	0.0005	0.4384
分期	63	0.0005	0.4388
几丁质	63	0.0005	0.4393
残基	63	0.0005	0.4398
中心	63	0.0005	0.4403
形态	62	0.0005	0.4407
发育阶段	62	0.0005	0.4412
真核	62	0.0005	0.4416
产量	62	0.0005	0.4421
宫颈癌	62	0.0005	0.4426
优化	62	0.0005	0.4430
杂交	62	0.0005	0.4435
单细胞	61	0.0005	0.4440
膜蛋白	60	0.0004	0.4444
链球菌	60	0.0004	0.4449
蛋白激酶	60	0.0004	0.4453
变化	60	0.0004	0.4458
香蕉	60	0.0004	0.4462
外源	59	0.0004	0.4466
实验组	59	0.0004	0.4471
谷子	59	0.0004	0.4475
传感器	59	0.0004	0.4480
体系	59	0.0004	0.4484
基因芯片	59	0.0004	0.4488
动力学	59	0.0004	0.4493
核技术	59	0.0004	0.4497
作者	58	0.0004	0.4502
类群	58	0.0004	0.4506
智能	58	0.0004	0.4510
脂质	58	0.0004	0.4515
教学	58	0.0004	0.4519
结肠癌	58	0.0004	0.4523
白菜	58	0.0004	0.4528
纤维化	57	0.0004	0.4532
胰腺癌	57	0.0004	0.4536
化疗	57	0.0004	0.4540
淀粉	57	0.0004	0.4545
拷贝	57	0.0004	0.4549
霉菌	57	0.0004	0.4553
分型	57	0.0004	0.4558
病原菌	57	0.0004	0.4562
龟鳖	57	0.0004	0.4566
生命	57	0.0004	0.4570
内生	56	0.0004	0.4575
菌门	56	0.0004	0.4579
日龄	56	0.0004	0.4583
根际	56	0.0004	0.4587
化石	56	0.0004	0.4591
部位	56	0.0004	0.4595
对虾	56	0.0004	0.4600
前列腺癌	56	0.0004	0.4604
废气	56	0.0004	0.4608
废液	56	0.0004	0.4612
废水处理	56	0.0004	0.4616
甘薯	56	0.0004	0.4621
筛查	55	0.0004	0.4625
花瓣	55	0.0004	0.4629
金属	55	0.0004	0.4633
奶牛	55	0.0004	0.4637
表皮	55	0.0004	0.4641
养殖	55	0.0004	0.4645
废油	55	0.0004	0.4649
事件	54	0.0004	0.4653
性腺	54	0.0004	0.4657
精子	54	0.0004	0.4662
外周血	54	0.0004	0.4666
数量	54	0.0004	0.4670
距离	54	0.0004	0.4674
嗅觉	54	0.0004	0.4678
目标	54	0.0004	0.4682
纤维	54	0.0004	0.4686
尺度	54	0.0004	0.4690
组分	53	0.0004	0.4694
草地	53	0.0004	0.4698
共线性	53	0.0004	0.4702
夜蛾	53	0.0004	0.4706
生殖	53	0.0004	0.4710
染色	53	0.0004	0.4714
锌指	53	0.0004	0.4718
软件	53	0.0004	0.4721
探针	53	0.0004	0.4725
生物医学	53	0.0004	0.4729
枸杞	53	0.0004	0.4733
底物	53	0.0004	0.4737
测量	52	0.0004	0.4741
细胞因子	52	0.0004	0.4745
胎儿	52	0.0004	0.4749
胰腺	52	0.0004	0.4753
结核	52	0.0004	0.4757
毒力	52	0.0004	0.4761
柑橘	52	0.0004	0.4765
高粱	52	0.0004	0.4768
设计	52	0.0004	0.4772
关系	52	0.0004	0.4776
毒素	51	0.0004	0.4780
木质素	51	0.0004	0.4784
癌细胞	51	0.0004	0.4788
纤维素	51	0.0004	0.4792
卵泡	51	0.0004	0.4795
训练	51	0.0004	0.4799
森林	51	0.0004	0.4803
色素	51	0.0004	0.4807
品系	51	0.0004	0.4811
无机	51	0.0004	0.4814
视网膜	50	0.0004	0.4818
重金属	50	0.0004	0.4822
脾脏	50	0.0004	0.4826
红花	50	0.0004	0.4829
茉莉	50	0.0004	0.4833
状态	50	0.0004	0.4837
变量	50	0.0004	0.4841
特性	50	0.0004	0.4844
弧菌	50	0.0004	0.4848
驱动	49	0.0004	0.4852
波段	49	0.0004	0.4855
节点	49	0.0004	0.4859
胡萝卜素	49	0.0004	0.4863
花粉	49	0.0004	0.4866
内膜	49	0.0004	0.4870
交流	49	0.0004	0.4874
疫情	49	0.0004	0.4877
发文	48	0.0004	0.4881
根部	48	0.0004	0.4885
绦虫	48	0.0004	0.4888
比例	48	0.0004	0.4892
急性	48	0.0004	0.4895
系数	48	0.0004	0.4899
地理	48	0.0004	0.4903
葡萄糖	47	0.0004	0.4906
骨骼肌	47	0.0004	0.4910
螺旋	47	0.0004	0.4913
科技期刊	47	0.0004	0.4917
脑组织	47	0.0004	0.4920
趋势	47	0.0004	0.4924
皂苷	47	0.0004	0.4927
淋巴细胞	47	0.0004	0.4931
强度	47	0.0004	0.4934
信号转导	47	0.0004	0.4938
年龄	47	0.0004	0.4941
激光	47	0.0004	0.4945
赤霉素	47	0.0004	0.4948
实验室	46	0.0003	0.4952
错义	46	0.0003	0.4955
水牛	46	0.0003	0.4959
耐盐	46	0.0003	0.4962
信号肽	46	0.0003	0.4965
策略	46	0.0003	0.4969
研究所	46	0.0003	0.4972
调查	46	0.0003	0.4976
培养基	46	0.0003	0.4979
机制	45	0.0003	0.4983
免疫原性	45	0.0003	0.4986
人参	45	0.0003	0.4989
花药	45	0.0003	0.4993
流感病毒	45	0.0003	0.4996
全球	45	0.0003	0.4999
电子	45	0.0003	0.5003
甜瓜	45	0.0003	0.5006
平台	45	0.0003	0.5010
类黄酮	44	0.0003	0.5013
结果显示	44	0.0003	0.5016
细粒	44	0.0003	0.5019
建设	44	0.0003	0.5023
学生	44	0.0003	0.5026
恶性	44	0.0003	0.5029
籽粒	44	0.0003	0.5033
记忆	44	0.0003	0.5036
血液	44	0.0003	0.5039
转座子	44	0.0003	0.5042
工程	44	0.0003	0.5046
农产品	44	0.0003	0.5049
高通量	43	0.0003	0.5052
环状	43	0.0003	0.5055
网站	43	0.0003	0.5059
枢纽	43	0.0003	0.5062
斑马鱼	43	0.0003	0.5065
神经网络	43	0.0003	0.5068
鳞癌	43	0.0003	0.5072
食管	43	0.0003	0.5075
核酸	43	0.0003	0.5078
药理学	43	0.0003	0.5081
编辑	43	0.0003	0.5084
大脑	43	0.0003	0.5088
蓖麻	43	0.0003	0.5091
功能域	43	0.0003	0.5094
苜蓿	43	0.0003	0.5097
突变型	43	0.0003	0.5100
染色质	43	0.0003	0.5104
还原酶	42	0.0003	0.5107
图谱	42	0.0003	0.5110
稻瘟病	42	0.0003	0.5113
棉铃虫	42	0.0003	0.5116
抗氧化	42	0.0003	0.5119
进展	42	0.0003	0.5123
波长	42	0.0003	0.5126
父母	42	0.0003	0.5129
障碍	42	0.0003	0.5132
元素	42	0.0003	0.5135
食管癌	42	0.0003	0.5138
脓毒症	42	0.0003	0.5141
果皮	42	0.0003	0.5145
乙酰化	42	0.0003	0.5148
胰岛素	42	0.0003	0.5151
癫痫	42	0.0003	0.5154
建模	42	0.0003	0.5157
抗旱	42	0.0003	0.5160
大麦	42	0.0003	0.5163
传播	42	0.0003	0.5167
脱氢酶	41	0.0003	0.5170
黄芪	41	0.0003	0.5173
生存率	41	0.0003	0.5176
生理	41	0.0003	0.5179
分析化学	41	0.0003	0.5182
芽孢	41	0.0003	0.5185
氧化酶	41	0.0003	0.5188
糖苷酶	41	0.0003	0.5191
聚类	41	0.0003	0.5194
密度	41	0.0003	0.5197
锈菌	40	0.0003	0.5200
骨质疏松症	40	0.0003	0.5203
软骨	40	0.0003	0.5206
卵母细胞	40	0.0003	0.5209
电信号	40	0.0003	0.5212
杆菌属	40	0.0003	0.5215
尿液	40	0.0003	0.5218
噪声	40	0.0003	0.5221
剪切	40	0.0003	0.5224
区间	40	0.0003	0.5227
基元	40	0.0003	0.5230
栏目	40	0.0003	0.5233
种类	40	0.0003	0.5236
亲缘	40	0.0003	0.5239
黄萎病	40	0.0003	0.5242
性能	39	0.0003	0.5245
大肠	39	0.0003	0.5248
脱落酸	39	0.0003	0.5251
淋巴结	39	0.0003	0.5254
高糖	39	0.0003	0.5257
口腔	39	0.0003	0.5260
植被	39	0.0003	0.5262
活动	39	0.0003	0.5265
效价	39	0.0003	0.5268
耐药性	39	0.0003	0.5271
登录号	39	0.0003	0.5274
手术	38	0.0003	0.5277
块茎	38	0.0003	0.5280
棘球	38	0.0003	0.5283
亲本	38	0.0003	0.5286
细胞壁	38	0.0003	0.5288
害虫	38	0.0003	0.5291
污染	38	0.0003	0.5294
时空	38	0.0003	0.5297
可溶性	38	0.0003	0.5300
甲基	38	0.0003	0.5303
辅助	38	0.0003	0.5305
品质	38	0.0003	0.5308
抗菌	37	0.0003	0.5311
胞外基质	37	0.0003	0.5314
核糖体	37	0.0003	0.5317
机体	37	0.0003	0.5319
女性	37	0.0003	0.5322
亚族	37	0.0003	0.5325
花期	37	0.0003	0.5328
内酯	37	0.0003	0.5330
基因功能	37	0.0003	0.5333
气候	37	0.0003	0.5336
准确率	37	0.0003	0.5339
检验	37	0.0003	0.5341
机构	37	0.0003	0.5344
多态	37	0.0003	0.5347
蒺藜	37	0.0003	0.5350
栽培	37	0.0003	0.5353
交配	37	0.0003	0.5355
模态	37	0.0003	0.5358
球菌	37	0.0003	0.5361
计划	37	0.0003	0.5364
连锁	37	0.0003	0.5366
标签	37	0.0003	0.5369
复合体	36	0.0003	0.5372
机器	36	0.0003	0.5375
流感	36	0.0003	0.5377
胶囊	36	0.0003	0.5380
协同	36	0.0003	0.5383
进程	36	0.0003	0.5385
水体	36	0.0003	0.5388
母细胞	36	0.0003	0.5391
高血压	36	0.0003	0.5393
跨膜区	36	0.0003	0.5396
亚类	36	0.0003	0.5399
磷酸	36	0.0003	0.5401
毛果	36	0.0003	0.5404
方式	36	0.0003	0.5407
效率	36	0.0003	0.5410
脊髓	36	0.0003	0.5412
视觉	36	0.0003	0.5415
萤光	36	0.0003	0.5418
活化	36	0.0003	0.5420
运输	35	0.0003	0.5423
苦荞	35	0.0003	0.5426
稳定性	35	0.0003	0.5428
百合	35	0.0003	0.5431
核桃	35	0.0003	0.5433
检查	35	0.0003	0.5436
原发性	35	0.0003	0.5439
果肉	35	0.0003	0.5441
冠心病	35	0.0003	0.5444
人工	35	0.0003	0.5447
磷酸酶	35	0.0003	0.5449
心血管	35	0.0003	0.5452
服务	35	0.0003	0.5454
色谱	35	0.0003	0.5457
性质	35	0.0003	0.5460
垂体	35	0.0003	0.5462
弓形虫	35	0.0003	0.5465
理论	35	0.0003	0.5467
聚糖	35	0.0003	0.5470
中肠	35	0.0003	0.5473
发病率	35	0.0003	0.5475
体胚	35	0.0003	0.5478
课程	35	0.0003	0.5481
新生	34	0.0003	0.5483
菌丝	34	0.0003	0.5486
光子	34	0.0003	0.5488
超家族	34	0.0003	0.5491
编码序列	34	0.0003	0.5493
半胱氨酸	34	0.0003	0.5496
生境	34	0.0003	0.5498
内皮细胞	34	0.0003	0.5501
疗效	34	0.0003	0.5503
低氧	34	0.0003	0.5506
过氧化物	34	0.0003	0.5509
防控	34	0.0003	0.5511
检出率	34	0.0003	0.5514
传统	34	0.0003	0.5516
黄酮	34	0.0003	0.5519
性别	34	0.0003	0.5521
机器人	34	0.0003	0.5524
跨膜	34	0.0003	0.5526
医学影像	34	0.0003	0.5529
动态	34	0.0003	0.5531
粒子	34	0.0003	0.5534
实体	34	0.0003	0.5537
学术	34	0.0003	0.5539
果蝇	33	0.0002	0.5542
科学技术	33	0.0002	0.5544
花色	33	0.0002	0.5546
阳性率	33	0.0002	0.5549
二者	33	0.0002	0.5551
甘油	33	0.0002	0.5554
酿酒	33	0.0002	0.5556
关节	33	0.0002	0.5559
海藻	33	0.0002	0.5561
绿色	33	0.0002	0.5564
三萜	33	0.0002	0.5566
免疫组化	33	0.0002	0.5569
产地	33	0.0002	0.5571
体细胞	33	0.0002	0.5574
抗生素	33	0.0002	0.5576
指纹	33	0.0002	0.5579
合作	33	0.0002	0.5581
数学	33	0.0002	0.5583
线性	33	0.0002	0.5586
猕猴桃	33	0.0002	0.5588
羟基	33	0.0002	0.5591
疟疾	33	0.0002	0.5593
水性	33	0.0002	0.5596
白血病	33	0.0002	0.5598
工具	33	0.0002	0.5601
数目	33	0.0002	0.5603
热点	32	0.0002	0.5606
膀胱癌	32	0.0002	0.5608
粪便	32	0.0002	0.5610
工蜂	32	0.0002	0.5613
纤维细胞	32	0.0002	0.5615
食品	32	0.0002	0.5618
药用植物	32	0.0002	0.5620
抗病毒	32	0.0002	0.5622
人工智能	32	0.0002	0.5625
峰值	32	0.0002	0.5627
预处理	32	0.0002	0.5630
循环	32	0.0002	0.5632
管理	32	0.0002	0.5634
禽流感	32	0.0002	0.5637
解析	32	0.0002	0.5639
细胞核	32	0.0002	0.5642
节律	32	0.0002	0.5644
条形码	32	0.0002	0.5646
分子生物学	32	0.0002	0.5649
生物体	32	0.0002	0.5651
斑块	32	0.0002	0.5654
利用	31	0.0002	0.5656
胶质	31	0.0002	0.5658
脂肪组织	31	0.0002	0.5660
抗菌肽	31	0.0002	0.5663
队列	31	0.0002	0.5665
内质网	31	0.0002	0.5667
分辨率	31	0.0002	0.5670
皮下脂肪	31	0.0002	0.5672
存活率	31	0.0002	0.5674
症状	31	0.0002	0.5677
构象	31	0.0002	0.5679
甜菜	31	0.0002	0.5681
谷胱甘肽	31	0.0002	0.5684
基质	31	0.0002	0.5686
病害	31	0.0002	0.5688
白粉病	31	0.0002	0.5691
沉积物	31	0.0002	0.5693
用药	31	0.0002	0.5695
下丘脑	31	0.0002	0.5698
复方	31	0.0002	0.5700
支原体	31	0.0002	0.5702
证候	31	0.0002	0.5705
生物量	31	0.0002	0.5707
检索	30	0.0002	0.5709
卷积	30	0.0002	0.5711
营养	30	0.0002	0.5714
心肌细胞	30	0.0002	0.5716
饥饿	30	0.0002	0.5718
空白对照	30	0.0002	0.5720
病毒感染	30	0.0002	0.5723
有机	30	0.0002	0.5725
沙门	30	0.0002	0.5727
面积	30	0.0002	0.5729
飞虱	30	0.0002	0.5732
黄酮类	30	0.0002	0.5734
鳞状	30	0.0002	0.5736
年度	30	0.0002	0.5738
地层	30	0.0002	0.5740
标准	30	0.0002	0.5743
力学	30	0.0002	0.5745
凝集素	30	0.0002	0.5747
定量	30	0.0002	0.5749
共生	30	0.0002	0.5752
共转染	29	0.0002	0.5754
国家	29	0.0002	0.5756
精巢	29	0.0002	0.5758
适应性	29	0.0002	0.5760
鲨烯	29	0.0002	0.5763
原代	29	0.0002	0.5765
肾病	29	0.0002	0.5767
白猪	29	0.0002	0.5769
新生儿	29	0.0002	0.5771
压力	29	0.0002	0.5773
印迹	29	0.0002	0.5776
同义	29	0.0002	0.5778
光照	29	0.0002	0.5780
网络版	29	0.0002	0.5782
国际	29	0.0002	0.5784
专业	29	0.0002	0.5786
颗粒细胞	29	0.0002	0.5789
抵抗	29	0.0002	0.5791
自交系	29	0.0002	0.5793
高度	29	0.0002	0.5795
孕妇	29	0.0002	0.5797
设备	29	0.0002	0.5799
间隔	29	0.0002	0.5802
雌雄	29	0.0002	0.5804
鸟类	29	0.0002	0.5806
实蝇	29	0.0002	0.5808
乳酸	29	0.0002	0.5810
微生物学	29	0.0002	0.5812
双杂交	29	0.0002	0.5815
动脉	29	0.0002	0.5817
剪接体	29	0.0002	0.5819
先天性	29	0.0002	0.5821
方案	29	0.0002	0.5823
分级	28	0.0002	0.5825
射线	28	0.0002	0.5827
情况	28	0.0002	0.5830
条目	28	0.0002	0.5832
异构酶	28	0.0002	0.5834
异质性	28	0.0002	0.5836
过氧化氢	28	0.0002	0.5838
传导	28	0.0002	0.5840
光周期	28	0.0002	0.5842
抗原性	28	0.0002	0.5844
临床试验	28	0.0002	0.5846
发生率	28	0.0002	0.5848
矩阵	28	0.0002	0.5851
过敏原	28	0.0002	0.5853
丝氨酸	28	0.0002	0.5855
病人	28	0.0002	0.5857
黏膜	28	0.0002	0.5859
颜色	28	0.0002	0.5861
液泡	28	0.0002	0.5863
工业	28	0.0002	0.5865
自动	28	0.0002	0.5867
男性	28	0.0002	0.5869
孢菌	27	0.0002	0.5871
条带	27	0.0002	0.5873
荔枝	27	0.0002	0.5875
氮素	27	0.0002	0.5877
精度	27	0.0002	0.5879
结核病	27	0.0002	0.5882
生物碱	27	0.0002	0.5884
注射液	27	0.0002	0.5886
畸形	27	0.0002	0.5888
类别	27	0.0002	0.5890
混合	27	0.0002	0.5892
抗寒	27	0.0002	0.5894
景观	27	0.0002	0.5896
单链	27	0.0002	0.5898
水杨酸	27	0.0002	0.5900
证实	27	0.0002	0.5902
胎盘	27	0.0002	0.5904
大白菜	27	0.0002	0.5906
流程	27	0.0002	0.5908
微管	27	0.0002	0.5910
效果	27	0.0002	0.5912
磁共振	27	0.0002	0.5914
分枝	27	0.0002	0.5916
哮喘	27	0.0002	0.5918
紫色	26	0.0002	0.5920
形态学	26	0.0002	0.5922
异源	26	0.0002	0.5924
感病	26	0.0002	0.5926
水解	26	0.0002	0.5928
病原体	26	0.0002	0.5930
结球	26	0.0002	0.5931
甲酯	26	0.0002	0.5933
结肠	26	0.0002	0.5935
显著性	26	0.0002	0.5937
乙酰	26	0.0002	0.5939
羟化酶	26	0.0002	0.5941
甘草	26	0.0002	0.5943
肺部	26	0.0002	0.5945
缺血性	26	0.0002	0.5947
亲水	26	0.0002	0.5949
葡聚糖	26	0.0002	0.5951
白色	26	0.0002	0.5953
脉冲	26	0.0002	0.5955
胚性	26	0.0002	0.5957
淋巴	26	0.0002	0.5959
局部	26	0.0002	0.5961
重构	26	0.0002	0.5963
一致性	26	0.0002	0.5965
常规	26	0.0002	0.5966
同位素	26	0.0002	0.5968
校正	26	0.0002	0.5970
白细胞	26	0.0002	0.5972
项目	26	0.0002	0.5974
糖蛋白	26	0.0002	0.5976
饲料	25	0.0002	0.5978
划痕	25	0.0002	0.5980
